"Pos.,""Fahrer"",""Team"",""Grid"",""Stopps"",""Beste"",""Zeit"",""Pkt."",""Fahrertyp"""
"1,""KC1FLY"",""Scuderia Ferrari HP"",""3"",""1"",""1:31,432"",""42:46,177"",""25"",""Spieler:in"""
"2,""SFRT_cfc_1990"",""KICK Sauber"",""1"",""1"",""1:31,795"",""+0,087"",""18"",""Spieler:in"""
"3,""PatrickF1Racing"",""Scuderia Ferrari HP"",""2"",""2"",""1:30,805"",""+11,596"",""15"",""Spieler:in"""
"4,""BOB-19-90"",""Visa Cash App Racing Bulls"",""9"",""1"",""1:31,848"",""+14,087"",""12"",""Spieler:in"""
"5,""Termiinator921"",""Alpine"",""8"",""1"",""1:31,613"",""+15,762"",""10"",""Spieler:in"""
"6,""snesHDenes"",""Haas"",""10"",""1"",""1:32,708"",""+25,369"",""8"",""Spieler:in"""
"7,""Kuhregor"",""Aston Martin"",""14"",""1"",""1:31,564"",""+34,302"",""6"",""Spieler:in"""
"8,""TheShieldTheNext"",""McLaren"",""5"",""2"",""1:31,331"",""+35,293"",""4"",""Spieler:in"""
"9,""HewisLamilton64"",""Williams"",""7"",""2"",""1:31,520"",""+35,650"",""2"",""Spieler:in"""
"10,""Hladen1909"",""Aston Martin"",""12"",""1"",""1:31,770"",""+35,985"",""1"",""Spieler:in"""
"11,""Schimpalla"",""KICK Sauber"",""4"",""1"",""1:31,428"",""+36,521"",""0"",""Spieler:in"""
"12,""DrSommer31"",""Visa Cash App Racing Bulls"",""11"",""2"",""1:32,056"",""+41,095"",""0"",""Spieler:in"""
"13,""Charles_Leclerc3"",""McLaren"",""13"",""2"",""1:31,789"",""+1:29,908"",""0"",""Spieler:in"""
"14,""Nejc_jr"",""Red Bull"",""15"",""2"",""1:38,394"",""+ 2 Runden"",""0"",""Spieler:in"""
"15,""Galendex00"",""Red Bull"",""6"",""1"",""1:33,726"",""DNF"",""0"",""Spieler:in"""

"Zeit,""Runde"",""Fahrer"",""Team"",""Vorfall"",""Strafe"""
"13:56,563,""9"",""Kuhregor"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
"14:17,695,""9"",""TheShieldTheNext"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"14:21,407,""9"",""Spieler:in"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
"15:26,370,""9"",""Spieler:in"",""Red Bull"",""Rasen in der Boxengasse"",""10 Sekunden Zeitstrafe"""
"17:20,591,""11"",""TheShieldTheNext"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"17:29,874,""11"",""PatrickF1Racing"",""Scuderia Ferrari HP"",""Streckenbegrenzung überschritten"",""Warnung"""
"17:41,153,""11"",""Termiinator921"",""Alpine"",""Streckenbegrenzung überschritten"",""Warnung"""
"18:02,592,""11"",""Charles_Leclerc3"",""McLaren"",""Rasen in der Boxengasse"",""10 Sekunden Zeitstrafe"""
"19:04,602,""12"",""Spieler:in"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
"19:05,337,""12"",""Charles_Leclerc3"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"19:05,353,""12"",""Charles_Leclerc3"",""McLaren"",""Mehrere Warnungen"",""3 Sekunde(n)"""
"21:31,069,""13"",""Schimpalla"",""KICK Sauber"",""Streckenbegrenzung überschritten"",""Warnung"""
"25:48,962,""16"",""Schimpalla"",""KICK Sauber"",""Streckenbegrenzung überschritten"",""Warnung"""
"27:18,030,""17"",""Charles_Leclerc3"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"30:48,591,""19"",""Spieler:in"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
"30:48,609,""19"",""Spieler:in"",""Aston Martin"",""Mehrere Warnungen"",""3 Sekunde(n)"""
"31:33,018,""20"",""Spieler:in"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
"31:42,314,""20"",""Termiinator921"",""Alpine"",""Streckenbegrenzung überschritten"",""Warnung"""
"31:42,330,""20"",""Termiinator921"",""Alpine"",""Mehrere Warnungen"",""3 Sekunde(n)"""
"33:34,025,""21"",""TheShieldTheNext"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"33:34,043,""21"",""TheShieldTheNext"",""McLaren"",""Mehrere Warnungen"",""3 Sekunde(n)"""
"33:55,878,""21"",""Charles_Leclerc3"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"33:56,788,""21"",""HewisLamilton64"",""Williams"",""Streckenbegrenzung überschritten"",""Warnung"""
"37:47,232,""24"",""HewisLamilton64"",""Williams"",""Streckenbegrenzung überschritten"",""Warnung"""
"37:47,250,""24"",""HewisLamilton64"",""Williams"",""Mehrere Warnungen"",""3 Sekunde(n)"""
"39:42,620,""25"",""TheShieldTheNext"",""McLaren"",""Streckenbegrenzung überschritten"",""Warnung"""
"41:38,471,""26"",""Kuhregor"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
"41:38,488,""26"",""Kuhregor"",""Aston Martin"",""Mehrere Warnungen"",""3 Sekunde(n)"""
"42:25,059,""27"",""Spieler:in"",""Aston Martin"",""Streckenbegrenzung überschritten"",""Warnung"""
